iso3,year,country,life_expectancy,gdp_per_capita
ABW,2023,Aruba,76.353,41964.77
AFG,2023,Afghanistan,66.0346,1983.8126
AGO,2023,Angola,64.617,8788.261
ALB,2023,Albania,79.6019,19487.71
AND,2023,Andorra,84.0406,64631.297
ARE,2023,United Arab Emirates,82.9091,70239.85
ARG,2023,Argentina,77.3947,27230.396
ARM,2023,Armenia,75.6827,19402.752
ATG,2023,Antigua and Barbuda,77.5976,28474.045
AUS,2023,Australia,83.9228,60684.96
AUT,2023,Austria,81.9559,64536.297
AZE,2023,Azerbaijan,74.4286,21310.738
BDI,2023,Burundi,63.6511,1036.1671
BEL,2023,Belgium,82.115,63095.402
BEN,2023,Benin,60.7738,3721.2126
BFA,2023,Burkina Faso,61.092,2486.2068
BGD,2023,Bangladesh,74.6723,8242.398
BGR,2023,Bulgaria,75.6363,31469.861
BHR,2023,Bahrain,81.2835,57819.906
BHS,2023,Bahamas,74.5518,35221.27
BIH,2023,Bosnia and Herzegovina,77.8504,18844.465
BLR,2023,Belarus,74.4339,27782.438
BLZ,2023,Belize,73.5656,12371.009
BMU,2023,Bermuda,82.3089,103052.35
BOL,2023,Bolivia,68.5814,11616.157
BRA,2023,Brazil,75.8482,19079.812
BRB,2023,Barbados,76.1782,21318.672
BRN,2023,Brunei,75.3266,76616.7
BTN,2023,Bhutan,72.9753,14610.296
BWA,2023,Botswana,69.1631,18932.48
CAF,2023,Central African Republic,57.4077,1132.6764
CAN,2023,Canada,82.6302,57517.44
CHE,2023,Switzerland,83.9536,82295.3
CHL,2023,Chile,81.1667,29563.678
CHN,2023,China,77.9529,22687.076
CIV,2023,Cote d'Ivoire,61.9438,6520.899
CMR,2023,Cameroon,63.6996,4875.251
COD,2023,Democratic Republic of Congo,61.895,1559.338
COG,2023,Congo,65.772,6172.2876
COL,2023,Colombia,77.7246,18382.998
COM,2023,Comoros,66.7768,3434.4019
CPV,2023,Cape Verde,76.0587,9228.461
CRI,2023,Costa Rica,80.7995,25979.629
CUW,2023,Curacao,76.7996,27617.92
CYM,2023,Cayman Islands,80.3576,79675.86
CYP,2023,Cyprus,81.648,48958.18
CZE,2023,Czechia,79.8341,47558.41
DEU,2023,Germany,81.3777,63039.37
DJI,2023,Djibouti,65.9865,6510.6787
DMA,2023,Dominica,71.1325,18278.225
DNK,2023,Denmark,81.9328,69379.22
DOM,2023,Dominican Republic,73.7201,23282.49
DZA,2023,Algeria,76.261,15159.324
ECU,2023,Ecuador,77.3924,14343.019
EGY,2023,Egypt,71.6335,16691.387
ESP,2023,Spain,83.6703,47322.594
EST,2023,Estonia,79.1535,41288.617
ETH,2023,Ethiopia,67.315,2757.9592
FIN,2023,Finland,81.9102,56250.88
FJI,2023,Fiji,67.3157,13194.805
FRA,2023,France,83.3253,54296.723
FRO,2023,Faroe Islands,80.1792,71807.31
FSM,2023,Micronesia (country),67.1983,3814.7202
GAB,2023,Gabon,68.3367,18701.422
GBR,2023,United Kingdom,81.3015,52592.684
GEO,2023,Georgia,74.4965,22590.53
GHA,2023,Ghana,65.4979,6808.5376
GIN,2023,Guinea,60.7405,3904.824
GMB,2023,Gambia,65.8603,2963.5986
GNB,2023,Guinea-Bissau,64.0849,2693.7766
GNQ,2023,Equatorial Guinea,63.7071,15688.238
GRC,2023,Greece,81.8568,36700.51
GRD,2023,Grenada,75.2052,17093.156
GRL,2023,Greenland,70.055,71037.54
GTM,2023,Guatemala,72.6023,12384.948
GUY,2023,Guyana,70.1802,49312.36
HKG,2023,Hong Kong,85.5106,64434.56
HND,2023,Honduras,72.8842,6467.88
HRV,2023,Croatia,78.5803,39316.152
HTI,2023,Haiti,64.9356,2965.9463
HUN,2023,Hungary,77.024,40333.254
IDN,2023,Indonesia,71.1457,13889.975
IND,2023,India,72.0026,9301.756
IRL,2023,Ireland,82.4118,117862.125
IRN,2023,Iran,77.6545,17044.816
IRQ,2023,Iraq,72.3242,13202.323
ISL,2023,Iceland,82.6911,68118.4
ISR,2023,Israel,82.408,47527.152
ITA,2023,Italy,83.7157,52870.324
JAM,2023,Jamaica,71.4789,11398.8125
JOR,2023,Jordan,77.8145,9381.3545
JPN,2023,Japan,84.7123,45858.66
KAZ,2023,Kazakhstan,74.4021,34703.234
KEN,2023,Kenya,63.6459,5691.825
KGZ,2023,Kyrgyzstan,71.677,6575.7754
KHM,2023,Cambodia,70.6675,6695.292
KIR,2023,Kiribati,66.4731,3140.5833
KNA,2023,Saint Kitts and Nevis,72.1447,30616.578
KOR,2023,South Korea,84.3288,54029.344
KWT,2023,Kuwait,80.4047,47777.402
LAO,2023,Laos,68.9637,8372.156
LBN,2023,Lebanon,77.817,11330.269
LBR,2023,Liberia,62.1625,1616.9237
LBY,2023,Libya,69.3389,12476.598
LCA,2023,Saint Lucia,72.6968,23403.744
LKA,2023,Sri Lanka,77.4828,13024.94
LSO,2023,Lesotho,57.3749,2595.8296
LTU,2023,Lithuania,76.025,46159.707
LUX,2023,Luxembourg,82.2294,130048.92
LVA,2023,Latvia,76.1898,37277.723
MAC,2023,Macao,83.0749,104815.2
MAR,2023,Morocco,75.3128,8915.352
MDA,2023,Moldova,71.1985,15990.4795
MDG,2023,Madagascar,63.6317,1629.4609
MDV,2023,Maldives,81.0412,22333.047
MEX,2023,Mexico,75.069,21917.248
MHL,2023,Marshall Islands,66.9454,6801.6147
MKD,2023,North Macedonia,77.3947,22317.725
MLI,2023,Mali,60.4394,2860.4282
MLT,2023,Malta,83.2989,57488.105
MMR,2023,Myanmar,66.889,5364.138
MNE,2023,Montenegro,77.0869,25922.184
MNG,2023,Mongolia,71.7341,16222.864
MOZ,2023,Mozambique,63.6111,1512.2764
MRT,2023,Mauritania,68.4836,6276.475
MUS,2023,Mauritius,74.9263,26635.012
MWI,2023,Malawi,67.3535,1649.2987
MYS,2023,Malaysia,76.6571,32857.668
NAM,2023,Namibia,67.3848,10137.673
NER,2023,Niger,61.1833,1689.5642
NGA,2023,Nigeria,54.4623,7843.8345
NIC,2023,Nicaragua,74.9468,7496.5293
NLD,2023,Netherlands,82.1576,70198.93
NOR,2023,Norway,83.3078,90085.44
NPL,2023,Nepal,70.3537,4861.2305
NRU,2023,Nauru,62.1094,12372.5205
NZL,2023,New Zealand,82.088,49508.27
OMN,2023,Oman,80.0305,37793.617
PAK,2023,Pakistan,67.649,5418.7695
PAN,2023,Panama,79.5937,35872.95
PER,2023,Peru,77.7401,15327.582
PHL,2023,Philippines,69.8327,9898.533
PLW,2023,Palau,69.269,16425.973
PNG,2023,Papua New Guinea,66.134,4205.8477
POL,2023,Poland,78.6329,43672.766
PRI,2023,Puerto Rico,81.6902,42837.9
PRT,2023,Portugal,82.3599,41768.254
PRY,2023,Paraguay,73.8443,15826.088
PSE,2023,Palestine,65.1703,5361.131
QAT,2023,Qatar,82.368,116563.99
ROU,2023,Romania,75.9381,38171.207
RUS,2023,Russia,73.1541,39887.34
RWA,2023,Rwanda,67.7852,3062.999
SAU,2023,Saudi Arabia,78.7321,64481.844
